,id,name,offer_type,category,content,channel,points,exclusion_category,benefit_type,point_type,program_code,program_name,program_tier,program_point_type,product_category,product_code,product_name,season,month,week_day,holiday,week_end,birth_day,wedding_anniversary,duration,start_date,end_date,Unnamed: 27,partner_category,partner_code,partner_name,partner_type,targetted_age,targetted_nationality,targetted_preference_group,targetted_gender,targetted_type,targetted_tier,targetted_channel,targetted_marital_status,discount_percentage
0,O0001,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,Loyalty  Portal,50.0,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,nan,P045,New Launches,Summer 2020,April ,,,,,,nan,1-Jun-19,31-Aug-19,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,nan,Bronze,Loyalty  Portal,Both,
1,O0002,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card",Web,4000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,nan,P019,Credit Card Offer,Summer 2020,May,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,nan,Saphire,Web,Both,
2,O0003," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card",Web,6000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2021,May,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,nan,Platinum,Web,All,
3,O0004,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card",Web,3500.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2022,May,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,nan,Gold,Web,All,
4,O0005,Member Only - Early Birds 50,Redemption,Promotions,Redeem new products listed exclusively for members- First 50,"Mobile App, SMS",100.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,,New Year,,,,nan,1-Jun-19,31-Aug-19,,Air,Luftansa,Luftansa,Airlines,All,US,Corporates,All,nan,Gold,"Mobile App, SMS",All,
5,O0006,Member Only - Spring 20,Redemption,Promotions,Redeem new products listed exclusively for members - Sprint Sale 2020,"Mobile App, SMS",200.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,,,,,,nan,1-Jun-19,31-Aug-19,,Air,Luftansa,Luftansa,Airlines,40-65,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,
6,O0007,Member Only - Thanks Giving 20,Redemption,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,"Mobile App, SMS",200.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,,,,,,nan,1-Jun-19,31-Aug-19,,Air,,,,All,US,,,nan,Gold,"Mobile App, SMS",All,
7,O0008,Member Only - Independence Day,Redemption,Promotions,Redeem new products listed exclusively for members - Independence day sale,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,,,,,,nan,1-Jun-19,31-Aug-19,,Air,,,,All,,,,nan,Gold,"Mobile App, SMS",All,
8,O0009,Member Only - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for members,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,,,,,,nan,1-Jun-19,31-Aug-19,,Air,,,,All,,,,nan,Gold,"Mobile App, SMS",All,
9,O0010,Join the world for 50,,Coupons,Create an account gain 50 points,Web,100.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P054,Refer a friend,,,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,
10,O0011,1 point per $1 ,,Coupons,Make a purchase 1 point per $1 . Earn point for every Dollar you spend for a minium of $50 purchase,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,,,,,,nan,1-Jul-19,31-Oct-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,
11,O0012,Friend-50,,Coupons,Refer a friend earn 50 points,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,,,,,,nan,1-Jul-19,31-Oct-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,
12,O0013,$10 off 100 points,Redemption,Discounts,Redeem points for discounts,Web,100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,,,,,,nan,1-Apr-19,31-Jul-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,10.0
13,O0014,15% Off 100 Points,Redemption,Discounts,Redeem points for discounts,Web,100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,,,,,,nan,1-Apr-19,31-Jul-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,15.0
14,O0015,30$ off 280 points,Redemption,Discounts,Redeem points for discounts,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P052,Redeem offers,,,,,,,,nan,1-Jul-19,31-Aug-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Gold,Web,All,5.0
15,O0016,Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P060,Target Discounts,,,,,,,,nan,1-Jul-19,31-Aug-19,,,TC,Target Corp,Retail,All,US,,,nan,Bronze,Web,All,10.0
16,O0017,Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,Web,150.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P060,Target Discounts,,,,,,,,nan,1-Jul-19,31-Aug-19,,,TC,Target Corp,Retail,All,US,,,nan,Bronze,Web,All,15.0
17,O0018,Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,250.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P060,Target Discounts,,,,,,,,nan,1-Jul-19,31-Aug-19,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,nan,Gold,Web,All,25.0
18,O0019,Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P067,Walmart discounts,,,,,,,,nan,1-Jul-19,31-Dec-19,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,Web,All,10.0
19,O0020,Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P067,Walmart discounts,,,,,,,,nan,1-Jul-19,31-Dec-19,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,Web,All,15.0
20,O0021,Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P067,Walmart discounts,,,,,,,,nan,1-Jul-19,31-Dec-19,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,nan,Gold,Web,All,25.0
21,O0022,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,Winter,,,,,,,nan,1-Jul-19,31-Dec-19,,,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,Web,All,
22,O0023,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,,,,,Anniversary Discounts,nan,1-Jan-19,31-Mar-19,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,
23,O0024,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,,,,Birthday Offers,,nan,1-Dec-19,31-Jan-20,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,
24,O0025,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 20,Jan,,,Weekend Offers,,,nan,1-Jan-19,31-May-19,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,
25,O0026,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 21,Feb,,,Weekend Offers,,,nan,1-Jan-19,31-May-19,,,UU,Uber,Cab,All,US,Individuals,All,nan,Bronze,Social Media,All,
26,O0027,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 22,Jan,,,Weekend Offers,,,nan,1-Jan-19,31-May-19,,,BCLA,Barista Coffee,Eat,All,US,Individuals,All,nan,Bronze,Social Media,All,
27,O0028,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 23,Feb,,,Weekend Offers,,,nan,1-Jan-19,31-May-19,,Non Air,EXP,Expedia,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,
28,O0029,JULY 4 15,Accruals ,Discounts,Upto 15% off on Flight Fees,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P006,Airline Fare Discounts,Holiday,July,1.0,Independence Day,,,,nan,1-Jul-19,31-Jul-19,,Air,LF,Luftanza,Air,All,US,Individuals,All,nan,Bronze,Web,All,15.0
29,O0030,Buy & Earn Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles",Web,200.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P001,ABC miles,Holiday,,,Vacation,,,,nan,1-Jul-19,31-Oct-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Bronze,Web,,
30,O0031,Earn miles with ABC,,Points,Earn more miles on your purchase when you use your eligible ABC  credit card.,Web,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P001,ABC miles,Holiday,,,Vacation,,,,nan,1-Jul-19,31-Oct-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Bronze,Web,,
31,O0032,Earn 25k Bonus miles,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.",Web,2500.0,,Points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,Holiday,,,Vacation,,,,nan,1-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Gold,Web,,
32,O0033,Earn 30K Bonus miles,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.",Web,3000.0,,Points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,Holiday,,,Vacation,,,,nan,1-Jun-19,31-Aug-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Gold,Web,,
33,O0034,Earn 50k Bonus Miles,,Points,"Earn 50,000 bonus miles when you book a vacation to Paris  with ABC Card",Web,5000.0,,points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,,,,,,,,nan,1-Jun-19,31-Aug-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Platinum,Web,,
34,O0035,Celebrate Summer Sale 20,Accruals ,Discounts,Save 20%/night to all destinations,Social Media,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P006,Airline Fare Discounts,Holiday,,,Summer,,,,nan,1-Jul-19,31-Oct-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Bronze,Social Media,,20.0
35,O0036,Celebrate Summer Sale 30,Accruals ,Discounts,Save 30%/night to all destinations,Social Media,400.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P006,Airline Fare Discounts,Holiday,,,Summer,,,,nan,1-Jun-19,31-Aug-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Gold,Social Media,,30.0
36,O0037,Celebrate Summer Sale 40,Accruals ,Discounts,Save 40%/night to all destinations,Social Media,500.0,,Discounts,,FFP,Frequent Flyer Program,Platinum,,nan,P006,Airline Fare Discounts,Holiday,,,Summer,,,,nan,1-Jun-19,31-Aug-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Platinum,Social Media,,40.0
37,O0038,35% with Budget,Accruals ,Discounts,Save up to 35% with Budget,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P017,Budget,Holiday,,,Vacation,,,,nan,1-Jul-19,31-Oct-19,,Non Air,BJT,Budget,Cab,All,US,All,All,nan,Bronze,Web,All,35.0
38,O0039,Earn miles with every stay,,Points,"Book hotels and earn up to 10,000 miles per night on select properties.",Web,200.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P040,Marriot,,,,,,,,nan,1-Jul-19,31-Oct-19,,,MM,Marriot,Hotel,All,US,Individuals,All,nan,Bronze,Web,Married,
39,O0040, à la carte - Food & Bev,Accruals ,Discounts,Get 10% off on F&B,Web,200.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P009,Ancillary-Food & Bev ,,,,,,Birthday,Anniversary,nan,1-Jul-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,10.0
40,O0041, à la carte - Food & Bev- Wine,Accruals ,Discounts,Get 10% off on F&B-Wine,Web,100.0,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,nan,P070,Wine,,,,,,Birthday,Anniversary,nan,1-Jan-19,31-Mar-19,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,10.0
41,O0042, à la carte - Baggage and excess baggage,Accruals ,Discounts,15% discount on excess baggage,Web,50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P011,Baggage,,,,,,Birthday,Anniversary,nan,1-Sep-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,15.0
42,O0043, à la carte - Seats,Accruals ,Discounts,10% discount on Xleg Seats,Web,50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P056,Seats,,,,,,Birthday,Anniversary,nan,1-Sep-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,10.0
43,O0044,Early Bird 10,Accruals ,Discounts, à la carte - 10% discount on early boarding for F&B,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P026,Early Boarding,,,,,,Birthday,Anniversary,nan,1-Sep-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10.0
44,O0045,Marriot 15,Accruals ,Discounts, 15% discount at Marriot,"Loyalty Portal , Web",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P040,Marriot,,,,,,Birthday,Anniversary,nan,1-Sep-19,31-Oct-19,,Non Air,MM,Marriot,Hotel,All,US,Individuals,All,nan,Bronze,"Loyalty Portal , Web",Married,15.0
45,O0046,Uber 10,Accruals ,Discounts,10% discuount with Uber Cabs,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P066,Uber,,,,,,Birthday,Anniversary,nan,1-Sep-19,31-Oct-19,,Non Air,UU,Uber,Cab,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10.0
46,O0047,TI 10,Accruals ,Discounts,10% discount on Travel Insurance with TT insurance,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P065,TT Insurance,,,,,,Birthday,Anniversary,nan,1-Sep-19,31-Oct-19,,Non Air,TI,TT Insurance,Insurance,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10.0
47,O0048,Early Bird  Offer,,Promotions,New Product that’s not officially Launched,"Loyalty  Portal, Mobile App",50.0,not for <18 years of age,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,nan,P045,New Launches,Summer 2020,April ,,,,,,nan,1-Jan-19,31-Mar-19,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,nan,Bronze,"Loyalty  Portal, Mobile App",Both,
48,O0049,"4,000 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"60,000 Bonus Points [Highest EVER Bonus]  with Chase Saphire Card","Loyalty  Portal, Mobile App",4000.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,nan,P019,Credit Card Offer,Summer 2020,May,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,CH,Chase ,Credit Card,30 - 40,US,Individuals,All,nan,Saphire,"Loyalty  Portal, Mobile App",Both,
49,O0050," 60,00 Rewards points  with AMEx Platinum Card",,Promotions,"Earn 60,000 Membership Rewards points  with Chase Platinum Card","Loyalty  Portal, Mobile App",6000.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2021,May,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,CH,Chase ,Credit Card,All,US,Individuals,All,nan,Platinum,"Loyalty  Portal, Mobile App",All,
50,O0051,"35,000  Rewards points with AMEx Gold Card",,Promotions,"Earn 35,000 Membership Rewards points with Chase Gold Card","Loyalty  Portal, Mobile App",250.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P019,Credit Card Offer,Summer 2022,May,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,CH,Chase ,Credit Card,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,
51,O0052,Member Only FFP - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for FFP members,"Loyalty  Portal, Mobile App",250.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,,New Year,,,,nan,1-Jun-19,31-Aug-19,,Air,LH,Luftansa,Airlines,All,US,Corporates,All,nan,Gold,"Loyalty  Portal, Mobile App",All,
52,O0053,Member Only - Fun 50 Gold,Redemption,Promotions,Redeem new products listed exclusively for Gold members,"Loyalty  Portal, Mobile App",250.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,,,,,,nan,1-Jun-19,31-Aug-19,,Non Air,LH,Luftansa,Airlines,40-65,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,
53,O0054,Member Only - Fun 50 Platinum,Redemption,Promotions,Redeem new products listed exclusively for Platinummembers ,"Loyalty  Portal, Mobile App",500.0,,Discounts,,FFP,Frequent Flyer Program,Platinum,,nan,P043,Member Only Offers,Summer 2020,April ,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,,,,All,,All,All,nan,Platinum,"Loyalty  Portal, Mobile App",All,
54,O0055,Member Only - Fun 50 Br,Redemption,Promotions,Redeem new products listed exclusively for Bronze members,"Loyalty  Portal, Mobile App",50.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P043,Member Only Offers,Summer 2021,May,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,,,,All,,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,
55,O0056,Member Only - Fun 50 New,Redemption,Promotions,Redeem new products listed exclusively for New members,"Loyalty  Portal, Mobile App",50.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P043,Member Only Offers,Summer 2022,June,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,,,,All,,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,
56,O0057,Join the world for 2000,,Coupons,Join the Loyalty Program account gain 2000 points,"Loyalty  Portal, Mobile App",50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P035,Loyalty Member Addition,,,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,
57,O0058,10 point per $1 ,,Coupons,Make a purchase 10 points per $1 . Earn point for every Dollar you spend,"Loyalty  Portal, Mobile App",50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P036,Loyalty Offers,,,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,
58,O0059,Friend-500,,Coupons,Refer a friend earn 500 points,"Loyalty  Portal, Mobile App",50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P036,Loyalty Offers,,,,,,,,nan,1-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,
